protocol,chain,market,name,inputToken,timestamp,blockNumber,totalValueLockedUSD,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyBorrowUSD,exchangeRate,rewardToken_1,rewardToken_2,rewardTokenEmissionsUSD_1,rewardTokenEmissionsUSD_2
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643758070,14123110,1329903148.352570015338777609532427,83343.49378552627046866944590413294,9260.388198391807829852160656014772,92603.88198391807829852160656014772,83343.49378552627046866944590413294,1989923.910521854159560321805719564,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,34395.60926751609624829546991040222,17197.80463375804812414773495520111
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643846038,14129695,1338305027.246789970901123991492675,85625.48295082528391849841053994855,9513.942550091698213166490059994285,95139.42550091698213166490059994285,85625.48295082528391849841053994855,219288.5897476173404352382942800384,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,31844.15552671237526701012130221711,15922.07776335618763350506065110856
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643932528,14136112,1336570545.37740881991199097476179,83705.73124549211287843392648865399,9300.636805054679208714880720961556,93006.36805054679208714880720961556,83705.73124549211287843392648865399,469510.5541902379957066972978384994,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,31338.62495474971319930231723449346,15669.31247737485659965115861724673
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1644018947,14142678,1330464447.041520747715950140289625,83500.99535902303075003914040758491,9277.888373224781194448793378620547,92778.88373224781194448793378620547,83500.99535902303075003914040758491,631318.4490164727561754282858442513,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,34103.32834597666730143097800937462,17051.66417298833365071548900468731
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1644099536,14148637,1326192111.970669632824615945093813,77779.5101107426951135084683807132,8642.167790082521679278718708968133,86421.67790082521679278718708968133,77779.5101107426951135084683807132,1460533.438267598509715230298338019,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,34788.17195956429231616871060554286,17394.08597978214615808435530277143
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1644191644,14155590,1327371473.461509984267482278419022,89042.37745162990769007676361466601,9893.597494625545298897418179407337,98935.97494625545298897418179407337,89042.37745162990769007676361466601,2316609.425445903659451540197507379,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,35919.00497152860384821994319396513,17959.50248576430192410997159698257
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1644274525,14161811,1384180613.191566757951015013461343,80014.16611594711194947702333793319,8890.462901771901327719669259770354,88904.62901771901327719669259770354,80014.16611594711194947702333793319,6745267.788766408126898521621198237,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,37768.68547281402007528750232454053,18884.34273640701003764375116227027
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1644358637,14168054,1436575691.384455051578008107834064,77357.18602789896540704508249839463,8595.242891988773934116120277599406,85952.42891988773934116120277599406,77357.18602789896540704508249839463,2331937.707489654350091989062069658,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,38153.61060736918178441195259881924,19076.80530368459089220597629940962
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1644449674,14174865,1436023074.270593103427876167585033,83005.78060144714272930829265625406,9222.864511271904747700921406250453,92228.64511271904747700921406250453,83005.78060144714272930829265625406,1243229.80779804700235152132305089,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,39738.78786688254235842198028915465,19869.39393344127117921099014457733
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1644531525,14180980,1506198141.034587885527400266043716,76596.05615726224420243633714537539,8510.672906362471578048481905041711,85106.72906362471578048481905041711,76596.05615726224420243633714537539,62152066.45235558023693164279886702,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,37366.01968991988165854360437179015,18683.00984495994082927180218589507
